연산,채소구분대분류,채소구분소분류,면적(ha),생산량(톤),조수입(백만원),데이터 기준일
20-21,노지채소,월동무,5056,359575,106434,20210809
20-21,노지채소,양배추,1753,103222,60116,20210809
20-21,노지채소,당근,1357,49527,46108,20210809
20-21,노지채소,구마늘,1600,24427,85234,20210809
20-21,노지채소,잎마늘,65,2665,3212,20210809
20-21,노지채소,양파_조생,524,32735,32596,20210809
20-21,노지채소,양파_만생,109,7781,5063,20210809
20-21,노지채소,브로콜리,1385,22952,47212,20210809
20-21,노지채소,배추,130,6287,2043,20210809
20-21,노지채소,잎쪽파,260,4406,24810,20210809
20-21,노지채소,구쪽파,167,2422,6836,20210809
20-21,노지채소,비트,247,2723,3633,20210809
20-21,노지채소,콜라비,520,15990,17208,20210809
20-21,노지채소,적채,122,5009,4378,20210809
20-21,노지채소,방울다다기 양배추,28,448,1478,20210809
20-21,노지채소,수박,180,4315,4484,20210809
20-21,노지채소,단호박,370,2690,7282,20210809
20-21,노지채소,호박,29,744,831,20210809
20-21,노지채소,"기타(시금치, 미나리, 풋고추, 대파 등)",203,14358,12927,20210809
20-21,시설채소,상추,12,354,1593,20210809
20-21,시설채소,깻잎,16,478,3537,20210809
20-21,시설채소,오이,19,728,1165,20210809
20-21,시설채소,방울토마토,32,1201,4804,20210809
20-21,시설채소,일반토마토,19,1451,2903,20210809
20-21,시설채소,딸기,39,1385,14127,20210809
20-21,시설채소,파프리카,9,1338,4015,20210809
20-21,시설채소,고추,9,131,520,20210809
20-21,시설채소,"기타(시금치, 부추, 쑥갓 등)",15,250,344,20210809
19-20,노지채소,월동무,4923,320305,181560,20210809
19-20,노지채소,양배추,1721,78005,87167,20210809
19-20,노지채소,당근,1067,38991,59151,20210809
19-20,노지채소,구마늘,1879,33939,74390,20210809
19-20,노지채소,잎마늘,64,1124,3811,20210809
19-20,노지채소,양파_조생,484,29230,30848,20210809
19-20,노지채소,양파_만생,102,8047,8925,20210809
19-20,노지채소,브로콜리,1273,18763,52388,20210809
19-20,노지채소,배추,154,6460,2843,20210809
19-20,노지채소,잎쪽파,235,5515,15781,20210809
19-20,노지채소,구쪽파,185,2960,6423,20210809
19-20,노지채소,비트,228,1502,1652,20210809
19-20,노지채소,콜라비,476,19535,14328,20210809
19-20,노지채소,적채,135,5046,3633,20210809
19-20,노지채소,방울다다기 양배추,34,418,1254,20210809
19-20,노지채소,수박,192,4666,4476,20210809
19-20,노지채소,단호박,185,1497,3443,20210809
19-20,노지채소,호박,56,1209,1128,20210809
19-20,노지채소,"기타(시금치, 미나리, 풋고추, 대파 등)",211,11053,4744,20210809
19-20,시설채소,상추,13,358,1249,20210809
19-20,시설채소,깻잎,16,480,2189,20210809
19-20,시설채소,오이,16,622,747,20210809
19-20,시설채소,방울토마토,31,1806,3237,20210809
19-20,시설채소,일반토마토,13,1051,1368,20210809
19-20,시설채소,딸기,38,1003,8043,20210809
19-20,시설채소,파프리카,10,1399,5201,20210809
19-20,시설채소,고추,10,108,473,20210809
19-20,시설채소,"기타(시금치, 부추, 쑥갓 등)",38,973,440,20210809
18-19,노지채소,월동무,5177,341457,120534,20210809
18-19,노지채소,양배추,2038,94128,37086,20210809
18-19,노지채소,당근,1323,47220,48448,20210809
18-19,노지채소,구마늘,1964,34706,90235,20210809
18-19,노지채소,잎마늘,60,1060,4452,20210809
18-19,노지채소,양파_조생,546,28764,31640,20210809
18-19,노지채소,양파_만생,155,8235,11529,20210809
18-19,노지채소,브로콜리,1495,18789,53887,20210809
18-19,노지채소,배추,133,7019,2233,20210809
18-19,노지채소,잎쪽파,309,5129,16808,20210809
18-19,노지채소,구쪽파,165,2496,5416,20210809
18-19,노지채소,비트,191,1258,1391,20210809
18-19,노지채소,콜라비,274,11245,10830,20210809
18-19,노지채소,적채,164,5672,3971,20210809
18-19,노지채소,방울다다기 양배추,29,365,1460,20210809
18-19,노지채소,수박,190,5248,5226,20210809
18-19,노지채소,단호박,165,1403,2813,20210809
18-19,노지채소,호박,31,795,764,20210809
18-19,노지채소,"기타(시금치, 미나리, 풋고추, 대파 등)",314,13676,14310,20210809
18-19,시설채소,상추,12,358,1075,20210809
18-19,시설채소,깻잎,16,475,1900,20210809
18-19,시설채소,오이,17,762,847,20210809
18-19,시설채소,방울토마토,28,1565,2837,20210809
18-19,시설채소,일반토마토,12,701,996,20210809
18-19,시설채소,딸기,36,934,7658,20210809
18-19,시설채소,파프리카,12,1355,5195,20210809
18-19,시설채소,고추,10,103,475,20210809
18-19,시설채소,"기타(시금치, 부추, 쑥갓 등)",45,1173,729,20210809
17-18,노지채소,월동무,4874,319796,128616,20210809
17-18,노지채소,양배추,1999,93544,63610,20210809
17-18,노지채소,당근,1408,50195,47793,20210809
17-18,노지채소,구마늘,2069,31069,92348,20210809
17-18,노지채소,잎마늘,69,1207,5701,20210809
17-18,노지채소,양파_조생,742,35824,35321,20210809
17-18,노지채소,양파_만생,145,8534,14505,20210809
17-18,노지채소,브로콜리,1643,20499,54195,20210809
17-18,노지채소,배추,143,7749,4008,20210809
17-18,노지채소,잎쪽파,356,7226,21636,20210809
17-18,노지채소,구쪽파,270,5335,11612,20210809
17-18,노지채소,비트,,,,20210809
17-18,노지채소,콜라비,185,6469,2924,20210809
17-18,노지채소,적채,176,6163,6401,20210809
17-18,노지채소,방울다다기 양배추,,,,20210809
17-18,노지채소,수박,191,4517,4431,20210809
17-18,노지채소,단호박,133,1177,2530,20210809
17-18,노지채소,호박,32,827,677,20210809
17-18,노지채소,"기타(시금치, 미나리, 풋고추, 대파 등)",210,11971,16392,20210809
17-18,시설채소,상추,15,443,1849,20210809
17-18,시설채소,깻잎,16,475,2689,20210809
17-18,시설채소,오이,20,1009,1009,20210809
17-18,시설채소,방울토마토,38,2239,6665,20210809
17-18,시설채소,일반토마토,7,452,816,20210809
17-18,시설채소,딸기,44,1142,10869,20210809
17-18,시설채소,파프리카,12,1580,6679,20210809
17-18,시설채소,고추,8,61,282,20210809
17-18,시설채소,"기타(시금치, 부추, 쑥갓 등)",21,737,8891,20210809
16-17,노지채소,월동무,4062,239269,185434,20210809
16-17,노지채소,양배추,1986,100879,115268,20210809
16-17,노지채소,당근,1368,33995,72103,20210809
16-17,노지채소,구마늘,2109,30114,91593,20210809
16-17,노지채소,잎마늘,72,1825,7055,20210809
16-17,노지채소,양파_조생,547,32967,32615,20210809
16-17,노지채소,양파_만생,144,9362,6173,20210809
16-17,노지채소,브로콜리,1537,17206,39012,20210809
16-17,노지채소,배추,191,10219,6070,20210809
16-17,노지채소,잎쪽파,333,5347,21175,20210809
16-17,노지채소,구쪽파,264,4356,10507,20210809
16-17,노지채소,비트,,,,20210809
16-17,노지채소,콜라비,346,12485,12453,20210809
16-17,노지채소,적채,196,6453,6946,20210809
16-17,노지채소,방울다다기 양배추,,,,20210809
16-17,노지채소,수박,190,3965,5298,20210809
16-17,노지채소,단호박,166,1394,3246,20210809
16-17,노지채소,호박,17,463,575,20210809
16-17,노지채소,"기타(시금치, 미나리, 풋고추, 대파 등)",481,13734,30715,20210809
16-17,시설채소,상추,14,475,1291,20210809
16-17,시설채소,깻잎,15,428,4406,20210809
16-17,시설채소,오이,23,1241,1099,20210809
16-17,시설채소,방울토마토,39,2509,6024,20210809
16-17,시설채소,일반토마토,9,529,927,20210809
16-17,시설채소,딸기,34,946,8730,20210809
16-17,시설채소,파프리카,12,1375,6581,20210809
16-17,시설채소,고추,8,79,376,20210809
16-17,시설채소,"기타(시금치, 부추, 쑥갓 등)",11,308,1088,20210809
15-16,노지채소,월동무,4167,260530,166769,20210809
15-16,노지채소,양배추,1910,110429,76872,20210809
15-16,노지채소,당근,1552,58036,56173,20210809
15-16,노지채소,구마늘,2124,31142,88914,20210809
15-16,노지채소,잎마늘,47,1139,2961,20210809
15-16,노지채소,양파_조생,545,35655,28916,20210809
15-16,노지채소,양파_만생,96,6345,4125,20210809
15-16,노지채소,브로콜리,1536,17190,38970,20210809
15-16,노지채소,배추,169,9519,4067,20210809
15-16,노지채소,잎쪽파,368,6353,15222,20210809
15-16,노지채소,구쪽파,265,4469,10708,20210809
15-16,노지채소,비트,,,,20210809
15-16,노지채소,콜라비,295,10630,10159,20210809
15-16,노지채소,적채,185,7022,6656,20210809
15-16,노지채소,방울다다기 양배추,,,,20210809
15-16,노지채소,수박,187,7194,9561,20210809
15-16,노지채소,단호박,46,805,1725,20210809
15-16,노지채소,호박,76,1631,3938,20210809
15-16,노지채소,"기타(시금치, 미나리, 풋고추, 대파 등)",381,16250,14556,20210809
15-16,시설채소,상추,14,441,1103,20210809
15-16,시설채소,깻잎,7,24,1103,20210809
15-16,시설채소,오이,23,1788,1093,20210809
15-16,시설채소,방울토마토,35,2392,7020,20210809
15-16,시설채소,일반토마토,10,660,1283,20210809
15-16,시설채소,딸기,33,834,8173,20210809
15-16,시설채소,파프리카,12,1315,6231,20210809
15-16,시설채소,고추,7,67,362,20210809
15-16,시설채소,"기타(시금치, 부추, 쑥갓 등)",16,575,2132,20210809
